Bathing Water,Lat,Long,Water Company ,Classification
Porthtowan,50.2875216194933,-5.24241622838034,South West Water Limited,Excellent
Portland Harbour Castle Cove,50.5963254620929,-2.45970117413061,Wessex Water Services Limited,Excellent
Portland Harbour Sandsfoot Castle,50.5942507564001,-2.46356615137405,Wessex Water Services Limited,Good
Portmellon,50.2618500765446,-4.78554234471881,South West Water Limited,Excellent
Portreath,50.2612329369265,-5.29363312652798,South West Water Limited,Excellent
Portwrinkle,50.3614649870999,-4.30766544034371,South West Water Limited,Good
Praa Sands East,50.0992826747151,-5.37872709464994,South West Water Limited,Excellent
Praa Sands West,50.1032457805843,-5.39089540088006,South West Water Limited,Excellent
Putsborough,51.1458097096823,-4.22090410376103,South West Water Limited,Excellent
Ramsgate Sands,51.3322345348873,1.4248732839031,Southern Water Services Limited,Good
Ramsgate Western Undercliffe,51.32660788452,1.40623423433956,Southern Water Services Limited,Good
Readymoney Cove,50.3295366717995,-4.6451849978973,South West Water Limited,Excellent
Redcar Coatham,54.6220674831445,-1.08159305534821,Northumbrian Water Limited,Excellent
Redcar Granville,54.6173480911732,-1.0522761465974,Northumbrian Water Limited,Good
Redcar Lifeboat Station,54.620056404635,-1.06076199971504,Northumbrian Water Limited,Good
Redcar Stray,54.6055201971506,-1.03397313354301,Northumbrian Water Limited,Excellent
Reighton,54.1691179111152,-0.249814208841969,Yorkshire Water Services Limited,Excellent
Ringstead Bay,50.6310556486312,-2.35136765080147,Wessex Water Services Limited,Excellent
Robin Hoods Bay,54.430153753772,-0.531866861240204,Yorkshire Water Services Limited,Good
Rock,50.5450705751418,-4.92629281273976,South West Water Limited,#N/A
Roker - Sunderland,54.9257464776574,-1.3649232933657,Northumbrian Water Limited,Excellent
Runswick Bay,54.5318083319323,-0.748706909633789,Yorkshire Water Services Limited,Excellent
Ryde,50.7308267143663,-1.14981599769512,Southern Water Services Limited,Excellent
Salcombe North Sands,50.2301559496311,-3.78055344549862,South West Water Limited,Excellent
Salcombe South Sands,50.2260571096317,-3.78390577803484,South West Water Limited,Excellent
Saltburn,54.5867919627395,-0.969779715531797,Northumbrian Water Limited,Excellent
Saltdean,50.7993243694268,-0.0417118106859044,Southern Water Services Limited,Excellent
Sandgate,51.07081526473,1.12175922624862,Southern Water Services Limited,Excellent
Sandown,50.6549685196269,-1.150633918919,Southern Water Services Limited,Excellent
Sandsend,54.5013791247077,-0.66735843912176,Yorkshire Water Services Limited,Good
Sandwich Bay,51.2826015238971,1.37962358666148,Southern Water Services Limited,Excellent
Sandy Bay,50.6098814242925,-3.36801763242127,South West Water Limited,Good
Sandymouth,50.8609376590203,-4.55677993814878,South West Water Limited,Excellent
Saunton Sands,51.1165533083077,-4.22235814569862,South West Water Limited,Excellent
Scarborough North Bay,54.2933647936044,-0.407208402772809,Yorkshire Water Services Limited,Excellent
Scarborough South Bay,54.2820335613278,-0.39523378210726,Yorkshire Water Services Limited,Sufficient
Sea Palling,52.7906397541907,1.60390398189731,Anglian Water Services Limited,Excellent
Seaburn - Sunderland,54.9375258890573,-1.36629859711629,Northumbrian Water Limited,Excellent
Seaford,50.7713170807392,0.0949765065444564,Southern Water Services Limited,Excellent
Seagrove,50.7163240595647,-1.10687537897105,Southern Water Services Limited,Excellent
Seaham Beach,54.8475106600731,-1.33811969262655,Northumbrian Water Limited,Excellent
Seaham Hall Beach,54.8504496557177,-1.34149803443412,Northumbrian Water Limited,Good
Seahouses North,55.5901915983294,-1.66680589716163,Northumbrian Water Limited,Excellent
Seascale,54.3952825742987,-3.48935798634343,United Utilities Water Limited,Good
Seaton (Cornwall),50.3643721667834,-4.38641162405235,South West Water Limited,Excellent
Seaton (Devon),50.7033764462276,-3.07051758079577,South West Water Limited,Excellent
Seaton Carew Centre,54.6599127717455,-1.18072760536662,Northumbrian Water Limited,Excellent
Seaton Carew North,54.6646667372081,-1.18604276684644,Northumbrian Water Limited,Good
Seaton Carew North Gare,54.6496298348782,-1.16466146681862,Northumbrian Water Limited,Excellent
Seaton Sluice,55.0872297531564,-1.47830016992466,Northumbrian Water Limited,Excellent
Seatown,50.7221101381266,-2.82482642610957,Wessex Water Services Limited,Excellent
Selsey,50.7363102526785,-0.770329030240902,Southern Water Services Limited,Excellent
Sennen,50.0787565561387,-5.69757684991096,South West Water Limited,Excellent
Shaldon,50.5398391331368,-3.50237277395838,South West Water Limited,Excellent
Shanklin,50.6270095566999,-1.17317872002862,Southern Water Services Limited,Excellent
Sharrow,50.3476,-4.2596,South West Water Limited,Excellent
Sheerness,51.4432594353138,0.760205649449072,Southern Water Services Limited,Excellent
Shell Bay North,50.6784546277685,-1.94880889880762,Wessex Water Services Limited,Excellent
Sheringham,52.9459370506713,1.20848053319422,Anglian Water Services Limited,Excellent
Shoebury East,51.5317329719537,0.803799899937665,Anglian Water Services Limited,Excellent
Shoeburyness,51.5229949803703,0.774140048920002,Anglian Water Services Limited,Excellent
Shoreham Beach,50.8265866683731,-0.2713284100911,Southern Water Services Limited,Excellent
Shorthorn Beach,50.3376351846938,-4.72293484370012,South West Water Limited,Excellent
Sidmouth Jacobs Ladder,50.6752708713685,-3.24791989088234,South West Water Limited,Excellent
Sidmouth Town,50.6761962719193,-3.24302255326324,South West Water Limited,Excellent
Silecroft,54.218947055813,-3.35110251563719,United Utilities Water Limited,Excellent
Silloth,54.8653453662774,-3.40914236147312,United Utilities Water Limited,#N/A
Skegness,53.1441464100115,0.349547789114293,Anglian Water Services Limited,Excellent
Skipsea,53.9619402767489,-0.190183487177237,Yorkshire Water Services Limited,Good
Slapton Sands Monument,50.2859383650832,-3.64506666217138,South West Water Limited,Excellent
